WikiId,mouvementLabel
Q100701389,new documentary movement
Q102932,avant-garde
Q10336205,neo-concrete movement
Q10336318,neo-primitivism
Q1054254,Informalism
Q1054333,Centro de Arte y Comunicación
Q105679168,Official Salon of Painting and Sculpture
Q1072060,Chicago School
Q10822316,concrete art
Q10857409,realism
Q1086353,Section d'Or
Q108908,Fluxus
Q1092442,Cinema Novo
Q1092461,Cinema of Transgression
Q1122677,Catalan modernism
Q1147263,lyrical abstraction
Q1148060,expressionist architecture
Q115154832,Metodo Castiglioni
Q115688756,Rationalism of Lake Como
Q1164982,Color Field
Q11784483,Neues Bauen
Q123305,appropriation
Q124354,Bauhaus
Q1246516,feminist art
Q12742313,Tinerimea artistică
Q128115,abstract art
Q1290382,indie
Q131221,futurism
Q1338153,20th-century classical music
Q134147,pop art
Q136046,Zero
Q1362030,expressionism
Q1400843,Cubo-Futurism
Q1401605,Russian avant-garde
Q1413061,tropicália
Q1413727,Vienna School of Fantastic Realism
Q1432603,alogism
Q143357,Barbizon school
Q14378,neoclassicism
Q1444581,Superflat
Q147516,magic realism
Q150091,neo-impressionism
Q1503425,Metabolism
Q1518145,sōsaku-hanga
Q152778,Die Brücke
Q153946,punk subculture
Q156460,degenerate art
Q1569950,internet art
Q1578378,Precisionism
Q1580216,Noucentisme
Q15838173,Regionalism
Q160218,New Objectivity
Q160476,German Expressionism
Q162150,abstraction
Q162324,International Style
Q164800,Symbolism
Q166593,fauvism
Q16670699,PopArt - The Videos
Q166713,post-impressionism
Q16680386,Ton Fan Group
Q1702131,Art Concret
Q17089653,feminist art movement
Q1713406,Young Germany
Q1728571,capitalist realism
Q173436,minimalism
Q173782,Art Deco
Q174988,Thirties Generation
Q17516,street art
Q177725,abstract expressionism
Q1808721,sound poetry
Q182331,op art
Q184814,Pre-Raphaelite Brotherhood
Q186030,contemporary art
Q1886249,straight photography
Q188976,counterculture
Q189458,academic art
Q191760,theatre of the absurd
Q191970,suprematism
Q193541,French New Wave
Q1962478,Post-painterly Abstraction
Q1972942,New York School
Q1977453,second-wave feminism
Q200034,pointillism
Q203209,conceptual art
Q207103,constructivism
Q207445,De Stijl
Q208208,Vienna Secession
Q211481,Dogme 95
Q212611,COBRA
Q213156,performance art
Q213457,Beat Generation
Q217213,action painting
Q224885,Transavantgarde
Q2268037,Neo-figurative
Q2297997,Movimento Spaziale
Q2316866,geometric abstraction
Q238255,deconstructivism
Q2394116,postminimalism
Q245188,modern architecture
Q2477787,American Impressionism
Q2487023,divisionism
Q25313019,Figurative Constructivism
Q2561815,bioart
Q2566149,relational art
Q256922,aestheticism
Q2578278,visual poetry
Q2615798,Synchromism
Q261993,realism
Q263985,romantic nationalism
Q2642826,Realism
Q2651403,visionary art
Q273495,École de Nancy
Q273506,School of Paris
Q276308,Nouveau réalisme
Q281108,naïve art
Q2864686,software art
Q2872628,Les Automatistes
Q2907232,Antropophagia
Q294949,ecofeminism
Q2972858,Five of Boston
Q3006706,analytical cubism
Q3071677,Figuration narrative
Q3117694,Q3117694
Q319941,Berlin School
Q326478,land art
Q327909,Fotoform
Q330369,Arts and Crafts movement
Q3326940,Movimento Arte Concreta
Q333625,absurdism
Q3362516,Afrofuturism
Q3381582,humanistic photography
Q3393199,No Wave Cinema
Q3408764,Pre-Code Hollywood
Q3454438,Q3454438
Q34636,Art Nouveau
Q3484823,simultanism
Q3505455,Belgian surrealism
Q3577822,Bay Area Figurative Movement
Q369418,hard-edge painting
Q37068,Romanticism
Q372600,Tachisme
Q377616,New Hollywood
Q378604,new media art
Q38166,modern art
Q382056,Pont-Aven School
Q39427,surrealism
Q397469,neo-romanticism
Q40415,impressionism
Q42865,Orientalism
Q42934,Cubism
