artist,artistLabel,bibliography,bibliographyTitle,bibliographyAuthor,bibliographyAuthorLabel,bibliographyDate,authorSex
Q159409,Louise Bourgeois,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q212426,Elizabeth Murray,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q215457,Eva Hesse,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q234324,Dorothea Tanning,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q235281,Helen Frankenthaler,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q237959,Lee Krasner,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q275610,Agnès Martin,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q276372,Lee Bontecou,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q436782,Susan Rothenberg,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q436874,Hedda Sterne,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q444567,Kay Sage,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q460186,Alice Neel,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q463639,Ana Mendieta,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q464044,Katherine Dreier,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q465777,Vija Celmins,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q467462,Per Kirkeby,Q123567942,"Per Kirkeby, Painter Inspired by Nature, Is Dead at 79",Q7351542,Roberta Smith,1947-01-01T00:00:00Z,female
Q469934,Joan Mitchell,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q535581,Grace Hartigan,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,1927-02-01T00:00:00Z,female
Q640936,Robert Ryman,Q123559282,"Robert Ryman, Minimalist Painter Who Made the Most of White, Dies at 88",Q7351542,Roberta Smith,1947-01-01T00:00:00Z,female
