oeuvre,oeuvreLabel,genre,genreLabel
http://www.wikidata.org/entity/Q296,Claude Monet,http://www.wikidata.org/entity/Q134307,portrait
http://www.wikidata.org/entity/Q296,Claude Monet,http://www.wikidata.org/entity/Q170571,still life
http://www.wikidata.org/entity/Q296,Claude Monet,http://www.wikidata.org/entity/Q191163,landscape painting
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q8341,jazz
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q9759,blues
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q11399,rock music
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q83440,country music
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q180268,gospel music
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q186472,folk rock
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q613408,country rock
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q753520,Christian rock
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q1541229,American folk music
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q2407862,Americana
http://www.wikidata.org/entity/Q392,Bob Dylan,http://www.wikidata.org/entity/Q11700058,folk-pop
http://www.wikidata.org/entity/Q557,Patti Smith,http://www.wikidata.org/entity/Q11399,rock music
http://www.wikidata.org/entity/Q557,Patti Smith,http://www.wikidata.org/entity/Q27190,proto-punk
http://www.wikidata.org/entity/Q557,Patti Smith,http://www.wikidata.org/entity/Q217467,art rock
http://www.wikidata.org/entity/Q557,Patti Smith,http://www.wikidata.org/entity/Q598929,post-punk
http://www.wikidata.org/entity/Q909,Jorge Luis Borges,http://www.wikidata.org/entity/Q482,poetry
http://www.wikidata.org/entity/Q909,Jorge Luis Borges,http://www.wikidata.org/entity/Q35760,essay
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q7749,rock and roll
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q11399,rock music
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q37073,pop music
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q83270,hard rock
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q193355,blues rock
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q206159,psychedelic rock
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q217467,art rock
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q484641,pop rock
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q546264,beat music
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q1640319,experimental music
http://www.wikidata.org/entity/Q1203,John Lennon,http://www.wikidata.org/entity/Q1641839,experimental rock
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q7749,rock and roll
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q11399,rock music
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q37073,pop music
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q83270,hard rock
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q186472,folk rock
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q193355,blues rock
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q206159,psychedelic rock
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q235858,traditional folk music
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q546264,beat music
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q1641839,experimental rock
http://www.wikidata.org/entity/Q1299,The Beatles,http://www.wikidata.org/entity/Q56351111,classic rock
http://www.wikidata.org/entity/Q1470,M. C. Escher,http://www.wikidata.org/entity/Q128115,abstract art
http://www.wikidata.org/entity/Q1470,M. C. Escher,http://www.wikidata.org/entity/Q170571,still life
http://www.wikidata.org/entity/Q1470,M. C. Escher,http://www.wikidata.org/entity/Q191163,landscape painting
http://www.wikidata.org/entity/Q1470,M. C. Escher,http://www.wikidata.org/entity/Q192110,self-portrait
http://www.wikidata.org/entity/Q1470,M. C. Escher,http://www.wikidata.org/entity/Q1935974,cityscape
http://www.wikidata.org/entity/Q1470,M. C. Escher,http://www.wikidata.org/entity/Q2302151,animal painting
http://www.wikidata.org/entity/Q1470,M. C. Escher,http://www.wikidata.org/entity/Q29527347,figure
http://www.wikidata.org/entity/Q3772,Quentin Tarantino,http://www.wikidata.org/entity/Q47783,postmodernism
http://www.wikidata.org/entity/Q3772,Quentin Tarantino,http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q3772,Quentin Tarantino,http://www.wikidata.org/entity/Q157443,comedy film
