artiste,artisteLabel,image,imageLabel
http://www.wikidata.org/entity/Q76734,Hans Poelzig,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Poelzig.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Poelzig.jpg
http://www.wikidata.org/entity/Q76712,Max Wolf,http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Wolf.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Wolf.jpg
http://www.wikidata.org/entity/Q77365,Walter Ruttmann,http://commons.wikimedia.org/wiki/Special:FilePath/Walter%20Ruttmann%20bij%20opname%20der%20Berlijn-Film%2C%201927.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Walter%20Ruttmann%20bij%20opname%20der%20Berlijn-Film%2C%201927.jpg
http://www.wikidata.org/entity/Q89568,Stefan Sagmeister,http://commons.wikimedia.org/wiki/Special:FilePath/MJK61338%20Stefan%20Sagmeister%20%28Beyond%20Tellerrand%20M%C3%BCnchen%202018%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/MJK61338%20Stefan%20Sagmeister%20%28Beyond%20Tellerrand%20M%C3%BCnchen%202018%29.jpg
http://www.wikidata.org/entity/Q74614,Heinz Hajek-Halke,http://commons.wikimedia.org/wiki/Special:FilePath/Yva%20Hajek-Halke%20-%20Das%20Deutsche%20Lichtbild%201927.png,http://commons.wikimedia.org/wiki/Special:FilePath/Yva%20Hajek-Halke%20-%20Das%20Deutsche%20Lichtbild%201927.png
http://www.wikidata.org/entity/Q78981,Alfred Roller,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Roller%20%281864%E2%80%931935%29%201927%20%C2%A9%20Georg%20Fayer%20%281892%E2%80%931950%29%20OeNB%2010452077.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Roller%20%281864%E2%80%931935%29%201927%20%C2%A9%20Georg%20Fayer%20%281892%E2%80%931950%29%20OeNB%2010452077.jpg
http://www.wikidata.org/entity/Q78646,Alfred Hrdlicka,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Hrdlicka%20%28Austrian%20sculptor%29%202005%20cropped.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Hrdlicka%20%28Austrian%20sculptor%29%202005%20cropped.jpg
http://www.wikidata.org/entity/Q90955,Klaus Staeck,http://commons.wikimedia.org/wiki/Special:FilePath/2018-12-09%20SPD%20Europadelegiertenkonferenz%20Klaus%20Staeck%202860.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/2018-12-09%20SPD%20Europadelegiertenkonferenz%20Klaus%20Staeck%202860.jpg
http://www.wikidata.org/entity/Q92631,Raymond Tomlinson,http://commons.wikimedia.org/wiki/Special:FilePath/Ray%20Tomlinson%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ray%20Tomlinson%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q82840,Alvar Aalto,http://commons.wikimedia.org/wiki/Special:FilePath/Alvar%20Aalto1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alvar%20Aalto1.jpg
http://www.wikidata.org/entity/Q84312,Richard Neutra,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20J.%20Neutra%20holding%20photograph%20of%20Beard%20House.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20J.%20Neutra%20holding%20photograph%20of%20Beard%20House.jpg
http://www.wikidata.org/entity/Q95715,Stefan Diez,http://commons.wikimedia.org/wiki/Special:FilePath/Icon%20Design%20maggio%202017%20copertina%20Mondadori.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Icon%20Design%20maggio%202017%20copertina%20Mondadori.jpg
http://www.wikidata.org/entity/Q95836,Katharina Sieverding,http://commons.wikimedia.org/wiki/Special:FilePath/Sieverding%2Ckatharina-in-Kunst-u-Kapital%20bukuhalle-bonn%20100317%203q.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Sieverding%2Ckatharina-in-Kunst-u-Kapital%20bukuhalle-bonn%20100317%203q.jpg
http://www.wikidata.org/entity/Q84287,Otto Wagner,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Wagner%20%281841%E2%80%931918%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Wagner%20%281841%E2%80%931918%29.jpg
http://www.wikidata.org/entity/Q70121,Aenne Biermann,http://commons.wikimedia.org/wiki/Special:FilePath/Aenne%20Biermann.%20Self-Portrait%20with%20Silver%20Ball.%201931.png,http://commons.wikimedia.org/wiki/Special:FilePath/Aenne%20Biermann.%20Self-Portrait%20with%20Silver%20Ball.%201931.png
http://www.wikidata.org/entity/Q70121,Aenne Biermann,http://commons.wikimedia.org/wiki/Special:FilePath/Aenne%20biermann.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aenne%20biermann.jpg
http://www.wikidata.org/entity/Q70997,Ralph H. Baer,http://commons.wikimedia.org/wiki/Special:FilePath/Ralph-Baer.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ralph-Baer.jpg
http://www.wikidata.org/entity/Q71242,Erich Hartmann,http://commons.wikimedia.org/wiki/Special:FilePath/Erich%2081.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Erich%2081.jpg
http://www.wikidata.org/entity/Q71244,Édouard Baldus,http://commons.wikimedia.org/wiki/Special:FilePath/Baldus%20Autoportrait.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Baldus%20Autoportrait.jpg
http://www.wikidata.org/entity/Q92130,Otto Bettmann,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Bettmann%20cph.3f05867.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Bettmann%20cph.3f05867.jpg
http://www.wikidata.org/entity/Q93847,Josef Frank,http://commons.wikimedia.org/wiki/Special:FilePath/Josef%20Frank%201960.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Josef%20Frank%201960.jpg
http://www.wikidata.org/entity/Q76427,Dieter Rams,http://commons.wikimedia.org/wiki/Special:FilePath/Designer-Dieter%20Rams.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Designer-Dieter%20Rams.jpg
http://www.wikidata.org/entity/Q92942,William Daniel Hillis,http://commons.wikimedia.org/wiki/Special:FilePath/Danny%20Hillis2.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Danny%20Hillis2.jpg
http://www.wikidata.org/entity/Q78841,Erwin Wurm,http://commons.wikimedia.org/wiki/Special:FilePath/20160630%20Sommernachtskom%C3%B6die%20Rosenburg%201222.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/20160630%20Sommernachtskom%C3%B6die%20Rosenburg%201222.jpg
http://www.wikidata.org/entity/Q89412,Helmut Lang,http://commons.wikimedia.org/wiki/Special:FilePath/Helmut%20Lang%20self%20portrait%202007.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Helmut%20Lang%20self%20portrait%202007.jpg
http://www.wikidata.org/entity/Q78717,Hans Weingartner,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Weingartner.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Weingartner.jpg
http://www.wikidata.org/entity/Q84199,Michael Haneke,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Haneke%202009.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Haneke%202009.jpg
http://www.wikidata.org/entity/Q82445,Henri de Toulouse-Lautrec,http://commons.wikimedia.org/wiki/Special:FilePath/Photolautrec.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Photolautrec.jpg
http://www.wikidata.org/entity/Q87807,Trude Fleischmann,http://commons.wikimedia.org/wiki/Special:FilePath/Trude%20Fleischmann%20%281895%E2%80%931990%29%20a.%201930%20%C2%A9%20Annie%20%28Anna%29%20Schulz.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Trude%20Fleischmann%20%281895%E2%80%931990%29%20a.%201930%20%C2%A9%20Annie%20%28Anna%29%20Schulz.jpg
http://www.wikidata.org/entity/Q76726,Peter Behrens,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Behrens%2C%20um%201913.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Behrens%2C%20um%201913.jpg
http://www.wikidata.org/entity/Q92678,Jason Rohrer,http://commons.wikimedia.org/wiki/Special:FilePath/Jason%20Rohrer%20%282011%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jason%20Rohrer%20%282011%29.jpg
http://www.wikidata.org/entity/Q78486,Johann Palisa,http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Palisa%20old.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Palisa%20old.jpg
http://www.wikidata.org/entity/Q76726,Peter Behrens,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Behrens%20by%20Rudolf%20D%C3%BChrkoop%20-%20MKG.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Behrens%20by%20Rudolf%20D%C3%BChrkoop%20-%20MKG.jpg
http://www.wikidata.org/entity/Q83578,Asger Jorn,http://commons.wikimedia.org/wiki/Special:FilePath/Asger%20Jorn%20%281963%29%20by%20Erling%20Mandelmann.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Asger%20Jorn%20%281963%29%20by%20Erling%20Mandelmann.jpg
http://www.wikidata.org/entity/Q88602,Bertold Löffler,http://commons.wikimedia.org/wiki/Special:FilePath/Bertold%20L%C3%B6ffler.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Bertold%20L%C3%B6ffler.jpg
http://www.wikidata.org/entity/Q86078,Anni Albers,http://commons.wikimedia.org/wiki/Special:FilePath/Anni%20Albers%2C%20Tapestry%2C%201948.%20Handwoven%20linen%20and.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Anni%20Albers%2C%20Tapestry%2C%201948.%20Handwoven%20linen%20and.jpg
http://www.wikidata.org/entity/Q90929,Benjamin Heisenberg,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20heisenberg.png,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20heisenberg.png
http://www.wikidata.org/entity/Q83158,Jean Cocteau,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Cocteau%20b%20Meurisse%201923.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Cocteau%20b%20Meurisse%201923.jpg
http://www.wikidata.org/entity/Q77465,Paul Leni,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Leni%20%281929%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Leni%20%281929%29.jpg
http://www.wikidata.org/entity/Q78885,Ettore Sottsass,http://commons.wikimedia.org/wiki/Special:FilePath/Ettore%20Sottsass%201969.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ettore%20Sottsass%201969.jpg
http://www.wikidata.org/entity/Q73085,Gunta Stölzl,http://commons.wikimedia.org/wiki/Special:FilePath/Stolzl%20bauhaus%20ausweis.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Stolzl%20bauhaus%20ausweis.jpg
http://www.wikidata.org/entity/Q75532,Thomas Demand,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Demand%20by%20David%20Shankbone.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Demand%20by%20David%20Shankbone.jpg
http://www.wikidata.org/entity/Q96612,Konstantin Grcic,http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Mark%20-%20Konstantin%20Grcic%2C%20M%C3%BCnchen%202010.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Mark%20-%20Konstantin%20Grcic%2C%20M%C3%BCnchen%202010.jpg
http://www.wikidata.org/entity/Q72889,Hugo Erfurth,http://commons.wikimedia.org/wiki/Special:FilePath/Selfportrait%20by%20Hugo%20Erfurth%201938.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Selfportrait%20by%20Hugo%20Erfurth%201938.jpg
http://www.wikidata.org/entity/Q70995,Ottomar Anschütz,http://commons.wikimedia.org/wiki/Special:FilePath/Ottomar%20Ansch%C3%BCtz%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ottomar%20Ansch%C3%BCtz%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q76882,Hugh Welch Diamond,http://commons.wikimedia.org/wiki/Special:FilePath/Hugh%20Welch%20Diamond%2C%20photo%20by%20Henry%20Peach%20Robinson%2C%201869.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hugh%20Welch%20Diamond%2C%20photo%20by%20Henry%20Peach%20Robinson%2C%201869.jpg
