oeuvre,oeuvreLabel,mouvement,mouvementLabel
http://www.wikidata.org/entity/Q296,Claude Monet,http://www.wikidata.org/entity/Q40415,impressionism
http://www.wikidata.org/entity/Q1470,M. C. Escher,http://www.wikidata.org/entity/Q38166,modern art
http://www.wikidata.org/entity/Q4724,Le Corbusier,http://www.wikidata.org/entity/Q245188,modern architecture
http://www.wikidata.org/entity/Q4724,Le Corbusier,http://www.wikidata.org/entity/Q478774,purism
http://www.wikidata.org/entity/Q4724,Le Corbusier,http://www.wikidata.org/entity/Q994776,brutalist architecture
http://www.wikidata.org/entity/Q5577,Salvador Dalí,http://www.wikidata.org/entity/Q39427,surrealism
http://www.wikidata.org/entity/Q5582,Vincent van Gogh,http://www.wikidata.org/entity/Q80113,Expressionism
http://www.wikidata.org/entity/Q5582,Vincent van Gogh,http://www.wikidata.org/entity/Q166713,post-impressionism
http://www.wikidata.org/entity/Q5588,Frida Kahlo,http://www.wikidata.org/entity/Q39427,surrealism
http://www.wikidata.org/entity/Q5588,Frida Kahlo,http://www.wikidata.org/entity/Q147516,magic realism
http://www.wikidata.org/entity/Q5589,Henri Matisse,http://www.wikidata.org/entity/Q40415,impressionism
http://www.wikidata.org/entity/Q5589,Henri Matisse,http://www.wikidata.org/entity/Q150091,neo-impressionism
http://www.wikidata.org/entity/Q5589,Henri Matisse,http://www.wikidata.org/entity/Q166593,fauvism
http://www.wikidata.org/entity/Q5589,Henri Matisse,http://www.wikidata.org/entity/Q166713,post-impressionism
http://www.wikidata.org/entity/Q5589,Henri Matisse,http://www.wikidata.org/entity/Q2487023,divisionism
http://www.wikidata.org/entity/Q5593,Pablo Picasso,http://www.wikidata.org/entity/Q39427,surrealism
http://www.wikidata.org/entity/Q5593,Pablo Picasso,http://www.wikidata.org/entity/Q42934,Cubism
http://www.wikidata.org/entity/Q5593,Pablo Picasso,http://www.wikidata.org/entity/Q166713,post-impressionism
http://www.wikidata.org/entity/Q5603,Andy Warhol,http://www.wikidata.org/entity/Q134147,pop art
http://www.wikidata.org/entity/Q5912,Marcel Duchamp,http://www.wikidata.org/entity/Q6034,Dada
http://www.wikidata.org/entity/Q5912,Marcel Duchamp,http://www.wikidata.org/entity/Q39427,surrealism
