oeuvre,oeuvreLabel,genre,genreLabel
http://www.wikidata.org/entity/Q372,We Live in Public,http://www.wikidata.org/entity/Q93204,documentary film
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://www.wikidata.org/entity/Q369747,war film
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://www.wikidata.org/entity/Q1054574,romance film
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://www.wikidata.org/entity/Q1919632,melodrama
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://www.wikidata.org/entity/Q17013749,historical film
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://www.wikidata.org/entity/Q52207399,film based on a novel
http://www.wikidata.org/entity/Q4941,Skyfall,http://www.wikidata.org/entity/Q188473,action film
http://www.wikidata.org/entity/Q4941,Skyfall,http://www.wikidata.org/entity/Q2297927,spy film
http://www.wikidata.org/entity/Q4941,Skyfall,http://www.wikidata.org/entity/Q3990883,action thriller
http://www.wikidata.org/entity/Q18403,Il bidone,http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q18403,Il bidone,http://www.wikidata.org/entity/Q959790,crime film
http://www.wikidata.org/entity/Q18403,Il bidone,http://www.wikidata.org/entity/Q21010853,drama fiction
http://www.wikidata.org/entity/Q24980,Monty Python's The Meaning of Life,http://www.wikidata.org/entity/Q157443,comedy film
http://www.wikidata.org/entity/Q24980,Monty Python's The Meaning of Life,http://www.wikidata.org/entity/Q842256,musical film
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q182015,thriller
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q188473,action film
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q319221,adventure film
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q471839,science fiction film
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q496523,heist film
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q1200678,mystery film
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q2484376,thriller film
http://www.wikidata.org/entity/Q25188,Inception,http://www.wikidata.org/entity/Q20656232,science fiction action film
http://www.wikidata.org/entity/Q25503,Le Pont du Nord,http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q25513,Paris Belongs to Us,http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q25525,Symphony Hour,http://www.wikidata.org/entity/Q157443,comedy film
http://www.wikidata.org/entity/Q25525,Symphony Hour,http://www.wikidata.org/entity/Q202866,animated film
http://www.wikidata.org/entity/Q25525,Symphony Hour,http://www.wikidata.org/entity/Q842256,musical film
http://www.wikidata.org/entity/Q25525,Symphony Hour,http://www.wikidata.org/entity/Q1361932,family film
http://www.wikidata.org/entity/Q25729,The Persistence of Memory,http://www.wikidata.org/entity/Q170571,still life
http://www.wikidata.org/entity/Q25729,The Persistence of Memory,http://www.wikidata.org/entity/Q191163,landscape painting
http://www.wikidata.org/entity/Q39267,Music for Films,http://www.wikidata.org/entity/Q193207,ambient music
http://www.wikidata.org/entity/Q39267,Music for Films,http://www.wikidata.org/entity/Q1640319,experimental music
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q188473,action film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q645928,biographical film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q959790,crime film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q2484376,thriller film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q7444356,gangster film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q17013749,historical film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q19367312,crime thriller film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q52207310,film based on book
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q113485322,crime drama film
http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q116514801,historical drama film
http://www.wikidata.org/entity/Q42051,Star Wars: Episode III – Revenge of the Sith,http://www.wikidata.org/entity/Q157394,fantasy film
http://www.wikidata.org/entity/Q42051,Star Wars: Episode III – Revenge of the Sith,http://www.wikidata.org/entity/Q188473,action film
http://www.wikidata.org/entity/Q42051,Star Wars: Episode III – Revenge of the Sith,http://www.wikidata.org/entity/Q319221,adventure film
http://www.wikidata.org/entity/Q42051,Star Wars: Episode III – Revenge of the Sith,http://www.wikidata.org/entity/Q468478,space opera
http://www.wikidata.org/entity/Q42051,Star Wars: Episode III – Revenge of the Sith,http://www.wikidata.org/entity/Q471839,science fiction film
http://www.wikidata.org/entity/Q42051,Star Wars: Episode III – Revenge of the Sith,http://www.wikidata.org/entity/Q652256,epic film
http://www.wikidata.org/entity/Q42051,Star Wars: Episode III – Revenge of the Sith,http://www.wikidata.org/entity/Q20443008,dystopian film
http://www.wikidata.org/entity/Q45585,The Starry Night,http://www.wikidata.org/entity/Q191163,landscape painting
http://www.wikidata.org/entity/Q45784,Wozzeck,http://www.wikidata.org/entity/Q613707,expressionist music
http://www.wikidata.org/entity/Q49740,Minecraft,http://www.wikidata.org/entity/Q343568,action-adventure game
http://www.wikidata.org/entity/Q49740,Minecraft,http://www.wikidata.org/entity/Q21030988,survival game
http://www.wikidata.org/entity/Q49740,Minecraft,http://www.wikidata.org/entity/Q25397095,sandbox game
http://www.wikidata.org/entity/Q53481,Sátántangó,http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q53481,Sátántangó,http://www.wikidata.org/entity/Q1135802,art film
http://www.wikidata.org/entity/Q53481,Sátántangó,http://www.wikidata.org/entity/Q52162262,film based on literature
http://www.wikidata.org/entity/Q64110,"20,000 Leagues Under the Sea",http://www.wikidata.org/entity/Q130232,drama film
http://www.wikidata.org/entity/Q64110,"20,000 Leagues Under the Sea",http://www.wikidata.org/entity/Q471839,science fiction film
http://www.wikidata.org/entity/Q64110,"20,000 Leagues Under the Sea",http://www.wikidata.org/entity/Q1615638,submarine film
http://www.wikidata.org/entity/Q64110,"20,000 Leagues Under the Sea",http://www.wikidata.org/entity/Q52207399,film based on a novel
http://www.wikidata.org/entity/Q71910,Tetris,http://www.wikidata.org/entity/Q54767,puzzle video game
http://www.wikidata.org/entity/Q76479,A Fistful of Dollars,http://www.wikidata.org/entity/Q172980,Western film
http://www.wikidata.org/entity/Q76479,A Fistful of Dollars,http://www.wikidata.org/entity/Q212781,Spaghetti Western
http://www.wikidata.org/entity/Q80379,The Hobbit: An Unexpected Journey,http://www.wikidata.org/entity/Q157394,fantasy film
http://www.wikidata.org/entity/Q80379,The Hobbit: An Unexpected Journey,http://www.wikidata.org/entity/Q188473,action film
http://www.wikidata.org/entity/Q80379,The Hobbit: An Unexpected Journey,http://www.wikidata.org/entity/Q319221,adventure film
http://www.wikidata.org/entity/Q80379,The Hobbit: An Unexpected Journey,http://www.wikidata.org/entity/Q652256,epic film
http://www.wikidata.org/entity/Q80379,The Hobbit: An Unexpected Journey,http://www.wikidata.org/entity/Q22981906,treasure hunt film
http://www.wikidata.org/entity/Q80379,The Hobbit: An Unexpected Journey,http://www.wikidata.org/entity/Q52162262,film based on literature
http://www.wikidata.org/entity/Q83739,The Ladykillers,http://www.wikidata.org/entity/Q157443,comedy film
http://www.wikidata.org/entity/Q83739,The Ladykillers,http://www.wikidata.org/entity/Q496523,heist film
http://www.wikidata.org/entity/Q83739,The Ladykillers,http://www.wikidata.org/entity/Q16950433,comedy thriller
http://www.wikidata.org/entity/Q102235,Harry Potter and the Order of the Phoenix,http://www.wikidata.org/entity/Q157394,fantasy film
http://www.wikidata.org/entity/Q102235,Harry Potter and the Order of the Phoenix,http://www.wikidata.org/entity/Q1361932,family film
http://www.wikidata.org/entity/Q102235,Harry Potter and the Order of the Phoenix,http://www.wikidata.org/entity/Q52207399,film based on a novel
http://www.wikidata.org/entity/Q104123,Pulp Fiction,http://www.wikidata.org/entity/Q130232,drama film
