oeuvre,oeuvreLabel,mouvement,mouvementLabel
http://www.wikidata.org/entity/Q25729,The Persistence of Memory,http://www.wikidata.org/entity/Q39427,surrealism
http://www.wikidata.org/entity/Q45585,The Starry Night,http://www.wikidata.org/entity/Q166713,post-impressionism
http://www.wikidata.org/entity/Q129433,Ma Jolie,http://www.wikidata.org/entity/Q42934,Cubism
http://www.wikidata.org/entity/Q164918,Bicycle Wheel,http://www.wikidata.org/entity/Q6034,Dada
http://www.wikidata.org/entity/Q164918,Bicycle Wheel,http://www.wikidata.org/entity/Q39427,surrealism
http://www.wikidata.org/entity/Q164918,Bicycle Wheel,http://www.wikidata.org/entity/Q203209,conceptual art
http://www.wikidata.org/entity/Q548141,The Dream,http://www.wikidata.org/entity/Q281108,naïve art
http://www.wikidata.org/entity/Q557000,Haystacks,http://www.wikidata.org/entity/Q40415,impressionism
http://www.wikidata.org/entity/Q579455,Suprematist Composition: White on White,http://www.wikidata.org/entity/Q191970,suprematism
http://www.wikidata.org/entity/Q579455,Suprematist Composition: White on White,http://www.wikidata.org/entity/Q1401605,Russian avant-garde
http://www.wikidata.org/entity/Q587514,The City Rises,http://www.wikidata.org/entity/Q131221,futurism
http://www.wikidata.org/entity/Q910199,Les Demoiselles d'Avignon,http://www.wikidata.org/entity/Q42934,Cubism
http://www.wikidata.org/entity/Q910199,Les Demoiselles d'Avignon,http://www.wikidata.org/entity/Q848365,primitivism
http://www.wikidata.org/entity/Q1113293,Three Musicians,http://www.wikidata.org/entity/Q42934,Cubism
http://www.wikidata.org/entity/Q1154410,The Song of Love,http://www.wikidata.org/entity/Q753683,metaphysical painting
http://www.wikidata.org/entity/Q1219263,The Sleeping Gypsy,http://www.wikidata.org/entity/Q281108,naïve art
http://www.wikidata.org/entity/Q1316254,Girl with Ball,http://www.wikidata.org/entity/Q134147,pop art
http://www.wikidata.org/entity/Q1757822,Artist's Shit,http://www.wikidata.org/entity/Q203209,conceptual art
http://www.wikidata.org/entity/Q1757822,Artist's Shit,http://www.wikidata.org/entity/Q678649,body art
http://www.wikidata.org/entity/Q1757822,Artist's Shit,http://www.wikidata.org/entity/Q57173928,abject art
http://www.wikidata.org/entity/Q1982400,The Funeral of the Anarchist Galli,http://www.wikidata.org/entity/Q131221,futurism
http://www.wikidata.org/entity/Q2272215,I and the Village,http://www.wikidata.org/entity/Q39427,surrealism
http://www.wikidata.org/entity/Q2272215,I and the Village,http://www.wikidata.org/entity/Q42934,Cubism
http://www.wikidata.org/entity/Q2272215,I and the Village,http://www.wikidata.org/entity/Q80113,Expressionism
http://www.wikidata.org/entity/Q2465911,Christina's World,http://www.wikidata.org/entity/Q2642826,Realism
http://www.wikidata.org/entity/Q2465911,Christina's World,http://www.wikidata.org/entity/Q5165033,Contemporary Realism
http://www.wikidata.org/entity/Q2697937,Campbell's Soup Cans,http://www.wikidata.org/entity/Q134147,pop art
http://www.wikidata.org/entity/Q2898215,Painting,http://www.wikidata.org/entity/Q38166,modern art
http://www.wikidata.org/entity/Q2915406,Broadway Boogie Woogie,http://www.wikidata.org/entity/Q207445,De Stijl
http://www.wikidata.org/entity/Q2915406,Broadway Boogie Woogie,http://www.wikidata.org/entity/Q845421,neoplasticism
http://www.wikidata.org/entity/Q2918824,The Portrait,http://www.wikidata.org/entity/Q3505455,Belgian surrealism
http://www.wikidata.org/entity/Q2919779,Object,http://www.wikidata.org/entity/Q39427,surrealism
http://www.wikidata.org/entity/Q3211044,The Birth of the World,http://www.wikidata.org/entity/Q39427,surrealism
http://www.wikidata.org/entity/Q3222561,Departure,http://www.wikidata.org/entity/Q80113,Expressionism
