ID,Label,EntityClass,Parent
1204,Archeology,subfield,Arts and Humanities
1205,Classics,subfield,Arts and Humanities
1206,Conservation,subfield,Arts and Humanities
1200,General Arts and Humanities,subfield,Arts and Humanities
1202,History,subfield,Arts and Humanities
1207,History and Philosophy of Science,subfield,Arts and Humanities
1203,Language and Linguistics,subfield,Arts and Humanities
1208,Literature and Literary Theory,subfield,Arts and Humanities
1209,Museology,subfield,Arts and Humanities
1210,Music,subfield,Arts and Humanities
1211,Philosophy,subfield,Arts and Humanities
1212,Religious studies,subfield,Arts and Humanities
1213,Visual Arts and Performing Arts,subfield,Arts and Humanities
T10362,Biblical Studies and Interpretation,topic,Religious studies
T12470,Caribbean and African Literature and Culture,topic,Religious studies
T13347,Christian Theology and Mission,topic,Religious studies
T13072,Contemporary Christian Leadership and Education,topic,Religious studies
T13818,Cultural Studies and Colonialism,topic,Religious studies
T14063,Diverse Philosophical and Cultural Studies,topic,Religious studies
T13356,Early Modern Women Writers,topic,Religious studies
T14343,Hispanic-African Historical Relations,topic,Religious studies
T11563,Indian and Buddhist Studies,topic,Religious studies
T13815,Islamic Thought and Society Studies,topic,Religious studies
T14132,Medical Research and Islamic Perspectives,topic,Religious studies
T13636,Pentecostalism and Christianity Studies,topic,Religious studies
T14426,Religion Gender and Enlightenment,topic,Religious studies
T14321,Religion Theology and Education,topic,Religious studies
T13178,Theology and Canon Law Studies,topic,Religious studies
T13641,Historical Studies and Socio-cultural Analysis,topic,History and Philosophy of Science
T12648,Academic Writing and Publishing,topic,History and Philosophy of Science
T14116,Aviation History and Innovations,topic,History and Philosophy of Science
T13308,Cybernetics and Technology in Society,topic,History and Philosophy of Science
T14517,Diverse Historical and Scientific Studies,topic,History and Philosophy of Science
T12182,Evolution and Science Education,topic,History and Philosophy of Science
T14131,Giambattista Vico and Joyce,topic,History and Philosophy of Science
T13757,Graphic Design and Typography,topic,History and Philosophy of Science
T11137,Historical Philosophy and Science,topic,History and Philosophy of Science
T14442,Historical Studies in Science,topic,History and Philosophy of Science
T14475,History of Science and Medicine,topic,History and Philosophy of Science
T12471,History of Science and Natural History,topic,History and Philosophy of Science
T14266,Interdisciplinary Studies: Technology Society and Humanities,topic,History and Philosophy of Science
T14151,Literary Analysis and Cultural Studies,topic,History and Philosophy of Science
T10778,Philosophy and History of Science,topic,History and Philosophy of Science
T13558,Philosophy Science and History,topic,History and Philosophy of Science
T13516,Publishing and Scholarly Communication,topic,History and Philosophy of Science
T13359,Sports Science and Education,topic,History and Philosophy of Science
T12445,Twentieth Century Scientific Developments,topic,History and Philosophy of Science
T11893,German Literature and Culture Studies,topic,Literature and Literary Theory
T13174,American and British Literature Analysis,topic,Literature and Literary Theory
T13259,American Jewish Fiction Analysis,topic,Literature and Literary Theory
T14217,American Literature and Humor Studies,topic,Literature and Literary Theory
T13474,Autobiographical and Biographical Writing,topic,Literature and Literary Theory
T14046,Bach Studies and Logistics Development,topic,Literature and Literary Theory
T14247,Borges Kipling and Jewish Identity,topic,Literature and Literary Theory
T13778,Comparative and World Literature,topic,Literature and Literary Theory
T13466,Comparative Literary Analysis and Criticism,topic,Literature and Literary Theory
T12130,Contemporary Literature and Criticism,topic,Literature and Literary Theory
T13145,Crime and Detective Fiction Studies,topic,Literature and Literary Theory
T14172,Cultural and Social Studies in Latin America,topic,Literature and Literary Theory
T12377,Digital Humanities and Scholarship,topic,Literature and Literary Theory
T10366,Discourse Analysis in Language Studies,topic,Literature and Literary Theory
T13837,Diverse Cultural and Social Studies,topic,Literature and Literary Theory
T11794,Early Modern Spanish Literature,topic,Literature and Literary Theory
T12457,Ecocriticism and Environmental Literature,topic,Literature and Literary Theory
T14001,Evelyn Waugh and Hans Urs von Balthasar Studies,topic,Literature and Literary Theory
T12586,Folklore Mythology and Literature Studies,topic,Literature and Literary Theory
T14385,Franz Kafka Literary Studies,topic,Literature and Literary Theory
T12559,French Literature and Critical Theory,topic,Literature and Literary Theory
T13667,French Literature and Criticism,topic,Literature and Literary Theory
