OLKey,WikidataID,AuthorGender,genderID,AuthorBirthDate,AuthorDeathDate
OL127193A,Q133855,male,Q6581097,1880-08-26T00:00:00Z,1918-11-09T00:00:00Z
OL59742A,Q463664,male,Q6581097,1959-02-25T00:00:00Z,
OL982536A,Q695239,male,Q6581097,1898-09-12T00:00:00Z,1969-03-14T00:00:00Z
OL1108979A,Q708502,male,Q6581097,1862-09-26T00:00:00Z,1928-10-24T00:00:00Z
OL131172A,Q965990,male,Q6581097,1897-07-09T00:00:00Z,1986-01-15T00:00:00Z
OL499685A,Q1281597,male,Q6581097,1922-04-22T00:00:00Z,1993-03-30T00:00:00Z
OL966076A,Q1870053,male,Q6581097,1928-03-27T00:00:00Z,2018-03-11T00:00:00Z
OL346414A,Q17636443,female,Q6581072,1960-01-01T00:00:00Z,
OL27962A,Q4724,male,Q6581097,1887-10-06T00:00:00Z,1965-08-27T00:00:00Z
OL1010519A,Q116216,male,Q6581097,1888-06-05T00:00:00Z,1965-10-03T00:00:00Z
OL37061A,Q335189,male,Q6581097,1937-07-25T00:00:00Z,2024-11-24T00:00:00Z
OL1888857A,Q551624,male,Q6581097,1606-05-12T00:00:00Z,1688-10-14T00:00:00Z
OL353860A,Q703660,male,Q6581097,1931-02-23T00:00:00Z,2004-12-17T00:00:00Z
OL421012A,Q1745240,male,Q6581097,1939-10-14T00:00:00Z,
OL420587A,Q7000070,male,Q6581097,1945-03-09T00:00:00Z,
OL89151A,Q47496,female,Q6581072,1946-11-30T00:00:00Z,
OL261495A,Q62992,male,Q6581097,1849-12-22T00:00:00Z,1938-01-08T00:00:00Z
OL599267A,Q471764,male,Q6581097,1889-04-15T00:00:00Z,1975-01-19T00:00:00Z
OL346683A,Q528511,male,Q6581097,1930-09-22T00:00:00Z,1998-07-22T00:00:00Z
OL145649A,Q1584571,male,Q6581097,1903-06-24T00:00:00Z,1989-11-05T00:00:00Z
OL535427A,Q16123467,female,Q6581072,1949-07-19T00:00:00Z,
OL450991A,Q16501099,male,Q6581097,1951-10-04T00:00:00Z,2014-04-10T00:00:00Z
OL1519467A,Q56702406,male,Q6581097,1972-08-10T00:00:00Z,
OL45499A,Q7836,male,Q6581097,1898-11-21T00:00:00Z,1967-08-15T00:00:00Z
OL135147A,Q62249,male,Q6581097,1878-10-11T00:00:00Z,1955-04-03T00:00:00Z
OL120831A,Q88130,male,Q6581097,1896-06-29T00:00:00Z,1964-11-16T00:00:00Z
OL33973A,Q168587,male,Q6581097,1928-09-09T00:00:00Z,2007-04-08T00:00:00Z
OL251079A,Q472756,male,Q6581097,1933-07-13T00:00:00Z,1963-02-06T00:00:00Z
OL294068A,Q644630,male,Q6581097,1902-06-11T00:00:00Z,1968-04-08T00:00:00Z
OL4327004A,Q649822,male,Q6581097,1910-08-19T00:00:00Z,1996-12-16T00:00:00Z
OL1962756A,Q709461,male,Q6581097,1880-08-02T00:00:00Z,1946-11-23T00:00:00Z
OL2360263A,Q1307719,male,Q6581097,1908-11-28T00:00:00Z,1999-12-08T00:00:00Z
OL49537A,Q2426702,male,Q6581097,1952-05-08T00:00:00Z,
OL434230A,Q111018,male,Q6581097,1926-11-22T00:00:00Z,1989-12-30T00:00:00Z
OL1013261A,Q318048,male,Q6581097,1906-08-07T00:00:00Z,1998-11-25T00:00:00Z
OL47573A,Q328106,male,Q6581097,1965-07-09T00:00:00Z,2006-08-06T00:00:00Z
OL27396A,Q918620,male,Q6581097,1926-05-21T00:00:00Z,2005-03-30T00:00:00Z
OL5300764A,Q1525577,male,Q6581097,1478-01-01T00:00:00Z,1558-08-15T00:00:00Z
OL597448A,Q2078922,male,Q6581097,1944-01-01T00:00:00Z,2021-11-26T00:00:00Z
OL2263038A,Q5126620,male,Q6581097,1883-03-16T00:00:00Z,1952-10-20T00:00:00Z
OL592626A,Q15488004,male,Q6581097,1904-07-19T00:00:00Z,2001-11-27T00:00:00Z
OL685705A,Q22954803,male,Q6581097,1958-01-01T00:00:00Z,
OL117592A,Q9364,male,Q6581097,1905-06-21T00:00:00Z,1980-04-15T00:00:00Z
OL79039A,Q43444,male,Q6581097,1821-12-12T00:00:00Z,1880-05-08T00:00:00Z
OL2266704A,Q118062,male,Q6581097,1725-06-25T00:00:00Z,1795-11-23T00:00:00Z
OL1179547A,Q151836,male,Q6581097,1928-12-15T00:00:00Z,2000-02-19T00:00:00Z
OL66035A,Q182847,male,Q6581097,1929-07-27T00:00:00Z,2007-03-06T00:00:00Z
OL65312A,Q313055,male,Q6581097,1864-01-01T00:00:00Z,1946-07-13T00:00:00Z
OL598532A,Q531806,male,Q6581097,1881-08-22T00:00:00Z,1963-06-16T00:00:00Z
OL126235A,Q2037162,male,Q6581097,1914-06-24T00:00:00Z,1983-01-10T00:00:00Z
OL1435776A,Q3275728,male,Q6581097,1956-08-24T00:00:00Z,
OL24119A,Q6370124,female,Q6581072,1940-12-06T00:00:00Z,
OL2553381A,Q7493560,male,Q6581097,1886-06-29T00:00:00Z,1980-10-10T00:00:00Z
OL1758897A,Q52156821,male,Q6581097,1894-01-01T00:00:00Z,1983-07-20T00:00:00Z
OL7310635A,Q90902576,female,Q6581072,1975-01-01T00:00:00Z,
OL4327105A,Q153965,male,Q6581097,1921-05-12T00:00:00Z,1986-01-23T00:00:00Z
OL245438A,Q154594,male,Q6581097,1922-12-08T00:00:00Z,2011-07-20T00:00:00Z
OL18814A,Q311132,male,Q6581097,1928-01-24T00:00:00Z,
OL1252450A,Q381031,male,Q6581097,1917-04-22T00:00:00Z,1992-11-27T00:00:00Z
OL274075A,Q765758,male,Q6581097,1924-10-31T00:00:00Z,2003-06-16T00:00:00Z
OL1931508A,Q5760733,male,Q6581097,1898-07-16T00:00:00Z,1966-01-19T00:00:00Z
OL936157A,Q18935041,male,Q6581097,1909-01-01T00:00:00Z,1987-01-01T00:00:00Z
OL2832237A,Q95902368,male,Q6581097,1976-01-01T00:00:00Z,
OL28175A,Q154260,male,Q6581097,1886-03-01T00:00:00Z,1980-02-22T00:00:00Z
OL991091A,Q381937,male,Q6581097,1886-04-15T00:00:00Z,1966-05-04T00:00:00Z
OL406827A,Q5240627,male,Q6581097,1924-05-17T00:00:00Z,2017-10-27T00:00:00Z
OL283265A,Q154448,male,Q6581097,1906-04-09T00:00:00Z,1997-03-15T00:00:00Z
OL22645A,Q465292,female,Q6581072,1930-02-25T00:00:00Z,2018-12-26T00:00:00Z
OL450339A,Q721633,male,Q6581097,1906-10-04T00:00:00Z,2001-12-29T00:00:00Z
OL74410A,Q1394112,male,Q6581097,1957-07-03T00:00:00Z,
OL1448812A,Q2560842,male,Q6581097,1966-01-01T00:00:00Z,
OL430905A,Q3060262,female,Q6581072,1918-05-17T00:00:00Z,2012-04-04T00:00:00Z
OL2407399A,Q3106776,male,Q6581097,1774-08-07T00:00:00Z,1826-09-10T00:00:00Z
OL198800A,Q42037,male,Q6581097,1940-04-13T00:00:00Z,
OL1137730A,Q164775,male,Q6581097,1938-01-23T00:00:00Z,
OL555872A,Q309482,male,Q6581097,1890-08-05T00:00:00Z,1977-08-23T00:00:00Z
OL4822862A,Q376036,male,Q6581097,1846-09-09T00:00:00Z,1875-02-26T00:00:00Z
OL688432A,Q95347,male,Q6581097,1834-11-10T00:00:00Z,1919-09-04T00:00:00Z
OL3881146A,Q115037,female,Q6581072,1952-05-17T00:00:00Z,
OL342056A,Q234449,female,Q6581072,1931-04-24T00:00:00Z,
OL407662A,Q238678,female,Q6581072,1883-04-12T00:00:00Z,1976-06-23T00:00:00Z
OL1478844A,Q258753,female,Q6581072,1948-01-01T00:00:00Z,
OL23520A,Q311687,male,Q6581097,1942-04-22T00:00:00Z,
OL41190A,Q376016,male,Q6581097,1942-08-01T00:00:00Z,
OL145472A,Q707911,male,Q6581097,1889-01-22T00:00:00Z,1955-08-31T00:00:00Z
OL2600209A,Q3471051,male,Q6581097,1837-02-13T00:00:00Z,1914-07-19T00:00:00Z
OL447748A,Q132305,male,Q6581097,1904-04-24T00:00:00Z,1997-03-19T00:00:00Z
OL45117A,Q154335,male,Q6581097,1928-04-28T00:00:00Z,1962-06-06T00:00:00Z
OL3278524A,Q184750,male,Q6581097,1949-03-21T00:00:00Z,
OL391244A,Q1688989,female,Q6581072,1929-05-17T00:00:00Z,2010-09-18T00:00:00Z
OL73979A,Q1911599,male,Q6581097,1927-09-18T00:00:00Z,2020-07-24T00:00:00Z
OL313354A,Q2363654,male,Q6581097,1946-01-01T00:00:00Z,
OL35948A,Q17126275,male,Q6581097,1957-01-01T00:00:00Z,
OL141044A,Q44054,male,Q6581097,1880-02-08T00:00:00Z,1916-03-04T00:00:00Z
OL33042A,Q152824,female,Q6581072,1933-01-16T00:00:00Z,2004-12-28T00:00:00Z
OL35394A,Q309618,male,Q6581097,1890-07-20T00:00:00Z,1964-06-18T00:00:00Z
OL117497A,Q460061,male,Q6581097,1893-12-04T00:00:00Z,1968-06-12T00:00:00Z
OL418616A,Q664257,male,Q6581097,1919-08-09T00:00:00Z,2006-10-25T00:00:00Z
OL1016511A,Q2544162,male,Q6581097,1894-01-21T00:00:00Z,1953-12-09T00:00:00Z
OL784632A,Q3421157,male,Q6581097,1891-04-13T00:00:00Z,1970-01-31T00:00:00Z
OL981078A,Q4363211,male,Q6581097,1903-12-13T00:00:00Z,1992-06-28T00:00:00Z
OL1514293A,Q4804067,male,Q6581097,1962-02-16T00:00:00Z,
OL239819A,Q112443417,male,Q6581097,1959-01-01T00:00:00Z,
OL585077A,Q45963,male,Q6581097,1942-07-30T00:00:00Z,
OL20371A,Q163118,female,Q6581072,1903-06-08T00:00:00Z,1987-12-17T00:00:00Z
OL4423513A,Q1176790,male,Q6581097,1924-09-21T00:00:00Z,2001-06-19T00:00:00Z
OL1062436A,Q1677042,male,Q6581097,1945-09-27T00:00:00Z,2003-03-14T00:00:00Z
OL528037A,Q5235567,male,Q6581097,1952-01-01T00:00:00Z,
OL3163253A,Q7279300,female,Q6581072,1968-01-01T00:00:00Z,
OL1037517A,Q61616,male,Q6581097,1904-01-29T00:00:00Z,1976-01-30T00:00:00Z
OL890163A,Q272566,male,Q6581097,1872-08-21T00:00:00Z,1898-03-16T00:00:00Z
OL439708A,Q6121151,male,Q6581097,1850-01-01T00:00:00Z,1880-01-01T00:00:00Z
OL2573005A,Q10293951,male,Q6581097,1905-03-01T00:00:00Z,1987-03-01T00:00:00Z
OL273769A,Q47130141,male,Q6581097,1941-01-01T00:00:00Z,2009-01-01T00:00:00Z
OL2534063A,Q211731,male,Q6581097,1920-10-22T00:00:00Z,1996-05-31T00:00:00Z
OL491320A,Q504395,male,Q6581097,1933-04-01T00:00:00Z,1996-11-29T00:00:00Z
OL407779A,Q273205,female,Q6581072,1965-01-01T00:00:00Z,
OL440841A,Q558060,male,Q6581097,1903-06-15T00:00:00Z,1966-03-12T00:00:00Z
OL138161A,Q643778,male,Q6581097,1885-05-12T00:00:00Z,1961-08-13T00:00:00Z
OL255327A,Q826213,male,Q6581097,1968-05-23T00:00:00Z,
OL2159994A,Q1064751,male,Q6581097,1942-02-11T00:00:00Z,2009-08-06T00:00:00Z
OL7588558A,Q15507779,male,Q6581097,1978-12-27T00:00:00Z,
OL619383A,Q17652015,male,Q6581097,1915-03-28T00:00:00Z,1994-01-24T00:00:00Z
OL83856A,Q73657240,male,Q6581097,1937-03-16T00:00:00Z,
OL9388A,Q692,male,Q6581097,1564-04-01T00:00:00Z,1616-05-03T00:00:00Z
OL198567A,Q102321,male,Q6581097,1935-06-03T00:00:00Z,
OL4335921A,Q703369,male,Q6581097,1860-05-31T00:00:00Z,1942-01-22T00:00:00Z
OL283003A,Q1495558,male,Q6581097,1910-08-13T00:00:00Z,1964-11-07T00:00:00Z
OL2934812A,Q1684721,male,Q6581097,1939-01-14T00:00:00Z,2015-09-13T00:00:00Z
OL1637678A,Q15453236,male,Q6581097,1907-02-01T00:00:00Z,1985-07-19T00:00:00Z
OL38043A,Q55940071,male,Q6581097,1935-04-02T00:00:00Z,2022-05-11T00:00:00Z
OL18342A,Q5432,male,Q6581097,1746-03-30T00:00:00Z,1828-04-16T00:00:00Z
OL115685A,Q57280,male,Q6581097,1717-12-09T00:00:00Z,1768-06-08T00:00:00Z
OL554855A,Q165648,male,Q6581097,1904-04-15T00:00:00Z,1948-07-21T00:00:00Z
OL201614A,Q272877,male,Q6581097,1932-04-19T00:00:00Z,2023-09-15T00:00:00Z
OL325105A,Q2594792,male,Q6581097,1944-03-23T00:00:00Z,
OL2318127A,Q78279,male,Q6581097,1850-01-01T00:00:00Z,1938-03-25T00:00:00Z
OL248608A,Q433485,female,Q6581072,1963-12-02T00:00:00Z,
OL431510A,Q565472,male,Q6581097,1943-06-02T00:00:00Z,1977-02-17T00:00:00Z
OL446949A,Q950746,male,Q6581097,1932-08-06T00:00:00Z,2017-03-09T00:00:00Z
OL904277A,Q1528524,male,Q6581097,1889-08-27T00:00:00Z,1952-07-14T00:00:00Z
OL222808A,Q1702239,male,Q6581097,1950-06-05T00:00:00Z,
OL186681A,Q2504557,male,Q6581097,1939-01-03T00:00:00Z,
OL3170140A,Q104370625,female,Q6581072,1971-01-01T00:00:00Z,
OL92998A,Q158840,male,Q6581097,1860-04-13T00:00:00Z,1949-11-19T00:00:00Z
OL912616A,Q536669,male,Q6581097,1849-10-05T00:00:00Z,1919-03-06T00:00:00Z
OL256389A,Q2406301,male,Q6581097,1942-01-01T00:00:00Z,
OL7003213A,Q11768004,male,Q6581097,1943-04-19T00:00:00Z,
OL150318A,Q68586224,male,Q6581097,1918-01-20T00:00:00Z,2023-06-29T00:00:00Z
OL59590A,Q432782,male,Q6581097,1934-03-24T00:00:00Z,
OL142211A,Q1089074,male,Q6581097,1921-08-12T00:00:00Z,1998-10-05T00:00:00Z
OL202451A,Q1394562,male,Q6581097,1926-01-17T00:00:00Z,1972-08-14T00:00:00Z
OL243279A,Q47780,female,Q6581072,1950-10-31T00:00:00Z,2016-03-31T00:00:00Z
OL144227A,Q285654,male,Q6581097,1919-07-11T00:00:00Z,1977-09-28T00:00:00Z
OL2787833A,Q558288,male,Q6581097,1959-08-22T00:00:00Z,
OL1419994A,Q655398,male,Q6581097,1960-09-21T00:00:00Z,
OL130128A,Q3262035,male,Q6581097,1876-12-11T00:00:00Z,1943-07-01T00:00:00Z
OL328390A,Q3658850,female,Q6581072,1931-03-06T00:00:00Z,1982-08-02T00:00:00Z
OL81189A,Q105488482,male,Q6581097,1953-01-01T00:00:00Z,
OL711823A,Q112481311,male,Q6581097,1959-01-01T00:00:00Z,
OL49653A,Q5603,male,Q6581097,1928-08-06T00:00:00Z,1987-02-22T00:00:00Z
OL261388A,Q7531,female,Q6581072,1899-09-23T00:00:00Z,1988-04-17T00:00:00Z
OL44144A,Q41406,male,Q6581097,1863-12-12T00:00:00Z,1944-01-23T00:00:00Z
OL60534A,Q46739,male,Q6581097,1914-03-31T00:00:00Z,1998-04-19T00:00:00Z
OL151888A,Q102233,male,Q6581097,1880-12-15T00:00:00Z,1945-03-17T00:00:00Z
OL187486A,Q155158,male,Q6581097,1887-06-20T00:00:00Z,1948-01-08T00:00:00Z
OL68537A,Q229272,male,Q6581097,1880-05-06T00:00:00Z,1938-06-15T00:00:00Z
OL389999A,Q1119171,male,Q6581097,1949-07-15T00:00:00Z,2024-01-17T00:00:00Z
OL230723A,Q1329817,female,Q6581072,1958-04-23T00:00:00Z,
OL528829A,Q1372986,male,Q6581097,1898-05-21T00:00:00Z,1976-03-27T00:00:00Z
OL2077751A,Q1933136,male,Q6581097,1946-03-10T00:00:00Z,2022-10-25T00:00:00Z
OL1761447A,Q19997542,male,Q6581097,1906-01-01T00:00:00Z,1979-01-01T00:00:00Z
OL804176A,Q95193329,female,Q6581072,1896-01-01T00:00:00Z,1979-01-01T00:00:00Z
OL5758347A,Q112554664,male,Q6581097,1977-01-01T00:00:00Z,
OL77844A,Q129554,male,Q6581097,1960-10-11T00:00:00Z,
OL4893538A,Q307693,male,Q6581097,1928-12-28T00:00:00Z,1976-11-09T00:00:00Z
OL814503A,Q458734,female,Q6581072,1942-06-06T00:00:00Z,2009-01-10T00:00:00Z
OL222566A,Q5431220,female,Q6581072,1930-10-08T00:00:00Z,2024-04-13T00:00:00Z
OL407400A,Q7350103,male,Q6581097,1949-12-28T00:00:00Z,
OL32772A,Q504,male,Q6581097,1840-04-02T00:00:00Z,1902-09-29T00:00:00Z
OL51856A,Q156622,male,Q6581097,1888-07-10T00:00:00Z,1978-11-20T00:00:00Z
OL291574A,Q260617,female,Q6581072,1953-08-03T00:00:00Z,
OL447686A,Q448601,female,Q6581072,1943-03-09T00:00:00Z,
OL1476178A,Q5213253,male,Q6581097,1971-05-09T00:00:00Z,
OL22794A,Q6693988,female,Q6581072,1949-01-01T00:00:00Z,
OL545566A,Q112386404,male,Q6581097,1943-01-01T00:00:00Z,
OL199802A,Q160149,male,Q6581097,1903-09-25T00:00:00Z,1970-02-25T00:00:00Z
OL169516A,Q167429,male,Q6581097,1924-08-24T00:00:00Z,2005-01-29T00:00:00Z
OL50873A,Q168704,female,Q6581072,1930-10-29T00:00:00Z,2002-05-21T00:00:00Z
OL143386A,Q170076,male,Q6581097,1901-07-31T00:00:00Z,1985-05-12T00:00:00Z
OL3075854A,Q319196,male,Q6581097,1972-09-06T00:00:00Z,
OL585693A,Q5732845,male,Q6581097,1938-11-01T00:00:00Z,
