Mouvement;decenie;NombreLivres
modern art;2007;206
modern art;2010;199
modern art;2011;184
modern art;2012;177
modern art;2008;174
modern art;2009;173
modern art;2006;171
modern art;2019;167
modern art;2013;163
modern art;2005;160
modern art;2021;155
modern art;2017;154
modern art;2015;153
modern art;2002;148
modern art;2003;148
modern art;2020;148
modern art;2014;145
modern art;2001;143
modern art;2004;139
modern art;2000;138
modern art;1999;135
modern art;2016;131
modern art;2018;128
modern art;1998;112
modern art;1986;95
modern art;1996;95
modern art;1984;94
modern art;1997;94
modern art;1987;92
modern art;1985;90
modern art;1982;81
modern art;1993;81
modern art;1988;77
modern art;1990;73
modern art;1983;72
modern art;1994;71
modern art;1992;70
modern art;1991;69
modern art;1995;69
modern art;1981;68
modern art;1989;67
modern art;2022;62
modern art;1980;52
modern art;1973;43
modern art;1971;42
modern art;1968;41
modern art;1970;41
modern art;1969;39
modern art;1974;39
modern art;1975;38
modern art;1976;37
modern art;1979;35
modern art;1978;33
modern art;1964;29
modern art;1965;29
modern art;1967;29
modern art;1972;29
modern art;1960;24
Bauhaus;2019;23
modern art;1966;22
video art;2006;20
modern art;1962;19
conceptual art;2004;17
modern art;1963;17
modern art;1977;17
video art;2004;17
modern art;1958;16
modern art;1961;16
modern art;1951;15
modern art;1956;15
modern art;1957;15
conceptual art;2000;14
video art;2007;14
video art;2019;14
conceptual art;2003;13
conceptual art;2005;13
conceptual art;2006;13
conceptual art;2010;13
conceptual art;2013;13
modern art;1959;13
performance art;2018;13
conceptual art;2021;12
street art;2011;12
conceptual art;2001;11
modern art;1953;11
surrealism;2006;11
video art;2010;11
video art;2017;11
Bauhaus;2009;10
abstract art;2010;10
abstract art;2019;10
conceptual art;2007;10
conceptual art;2019;10
conceptual art;2020;10
contemporary art;2006;10
modern art;1936;10
performance art;2000;10
performance art;2020;10
postmodernism;2013;10
surrealism;2007;10
surrealism;2018;10
video art;2003;10
video art;2020;10
conceptual art;2002;9
modern art;1954;9
surrealism;2001;9
surrealism;2008;9
video art;2005;9
video art;2008;9
video art;2009;9
video art;2015;9
abstract art;2001;8
conceptual art;1987;8
conceptual art;1997;8
conceptual art;2008;8
conceptual art;2011;8
modern art;1931;8
modern art;1939;8
performance art;2004;8
performance art;2007;8
performance art;2010;8
performance art;2017;8
public art;2008;8
street art;2010;8
video art;2012;8
abstract art;2005;7
abstract art;2008;7
abstract art;2012;7
conceptual art;2017;7
modern art;1900;7
modern art;1930;7
modern art;1934;7
performance art;2001;7
performance art;2011;7
performance art;2012;7
performance art;2014;7
performance art;2019;7
performance art;2021;7
public art;2015;7
surrealism;1997;7
surrealism;1999;7
surrealism;2019;7
video art;2002;7
video art;2011;7
video art;2013;7
abstract art;2006;6
abstract art;2007;6
abstract art;2017;6
body art;2000;6
conceptual art;1991;6
conceptual art;1999;6
conceptual art;2009;6
conceptual art;2014;6
conceptual art;2016;6
contemporary art;2005;6
contemporary art;2013;6
modern art;1950;6
modern art;1952;6
modern art;1955;6
performance art;2003;6
performance art;2006;6
performance art;2013;6
postmodernism;1997;6
postmodernism;1998;6
postmodernism;2004;6
public art;2002;6
public art;2006;6
public art;2011;6
public art;2012;6
public art;2020;6
street art;2014;6
street art;2020;6
surrealism;2003;6
surrealism;2009;6
video art;1995;6
video art;2000;6
video art;2016;6
Art Deco;2007;5
Bauhaus;1991;5
Bauhaus;2015;5
Romanticism;2014;5
abstract art;1982;5
abstract art;2000;5
abstract art;2016;5
conceptual art;1982;5
conceptual art;1990;5
conceptual art;1995;5
conceptual art;2012;5
conceptual art;2018;5
contemporary art;2007;5
modern architecture;2005;5
modern art;1945;5
outsider art;2001;5
performance art;2002;5
performance art;2015;5
pop art;2012;5
postmodernism;1993;5
postmodernism;1999;5
postmodernism;2000;5
postmodernism;2001;5
public art;1995;5
public art;1998;5
public art;2000;5
public art;2001;5
public art;2004;5
public art;2005;5
public art;2013;5
public art;2014;5
public art;2021;5
street art;2015;5
street art;2016;5
surrealism;1993;5
surrealism;1998;5
surrealism;2004;5
video art;2014;5
video art;2018;5
Art Nouveau;1967;4
Art Nouveau;1999;4
Art Nouveau;2000;4
Arte Povera;2001;4
Bauhaus;1987;4
Bauhaus;2001;4
Bauhaus;2021;4
Cubism;2005;4
Cubism;2006;4
Romanticism;1969;4
Romanticism;1999;4
Symbolism;1994;4
abstract art;1970;4
