Nationality;ArtistCount
American;5308
German;986
British;872
French;865
Italian;539
Japanese;509
Swiss;298
Dutch;282
Russian;261
Austrian;242
Canadian;195
Brazilian;176
Spanish;159
Mexican;154
Argentine;154
Nationality unknown;144
Polish;132
Swedish;130
Danish;123
Chinese;107
Belgian;101
Czech;87
Israeli;76
Venezuelan;72
Chilean;72
South African;71
Cuban;64
Colombian;63
Finnish;62
Australian;57
Hungarian;54
Indian;52
Norwegian;49
Peruvian;41
Croatian;35
Korean;32
Irish;24
Uruguayan;23
Turkish;22
Scottish;20
Romanian;19
Slovenian;17
Serbian;17
Haitian;17
New Zealander;16
Ukrainian;15
Puerto Rican;14
Iranian;14
Nigerian;13
Native American;13
Greek;13
Icelandic;12
Portuguese;11
Egyptian;11
Lebanese;10
Canadian Inuit;10
Slovak;9
Moroccan;8
Guatemalan;8
Georgian;6
Ecuadorian;6
Congolese;6
Bosnian;6
Zimbabwean;5
Vietnamese;5
Taiwanese;5
Palestinian;5
Pakistani;5
Kenyan;5
Czechoslovakian;5
Bulgarian;5
Bolivian;5
Bangladeshi;5
Thai;4
Senegalese;4
Panamanian;4
Nicaraguan;4
Macedonian;4
Filipino;4
Welsh;3
Sudanese;3
Singaporean;3
Malian;3
Malaysian;3
Luxembourger;3
Lithuanian;3
Latvian;3
Ghanaian;3
Algerian;3
Albanian;3
Tunisian;2
Trinidad and Tobagonian;2
Syrian;2
South Korean;2
Salvadoran;2
Paraguayan;2
Namibian;2
Mozambican;2
Kyrgyz;2
Iraqi;2
Ethiopian;2
Estonian;2
English;2
Emirati;2
Costa Rican;2
Catalan;2
Cameroonian;2
Bahamian;2
Azerbaijani;2
Yugoslav;1
Ugandan;1
Thailand;1
Tanzanian;1
Sri Lankan;1
Sierra Leonean;1
Sahrawi;1
Persian;1
Oneida;1
Nepali;1
Kuwaiti;1
Jamaican;1
Ivorian;1
Ivatan;1
Indonesian;1
Hunkpapa Lakota;1
Cypriot;1
Coptic;1
Caribbean;1
Cambodian;1
Burkinabé;1
Beninese;1
Afghan;1
