ArtistID,BiographyID,biographyTitle,biographyAuthorID,BiographyAuthorLabel,BiographyDate,BiographyAuthorGenre
Q1042835,Q81594803,"Carlos Cruz-Diez, Whose Art Made Color Move, Is Dead at 95",,,,
Q1045182,Q15649499,Allgemeines Künstlerlexikon,,,,
Q1067592,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q108301,Q127157391,Искусство стран и народов мира,,,,
Q11105744,Q103971316,"Bloom, Hyman",,,,
Q11105744,Q79266177,Hyman Bloom,,,,
Q120993,Q20078554,Большая советская энциклопедия,,,,
Q1246260,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q1246260,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q1264049,Q110308119,St. James Guide to Black Artists,,,,
Q1291679,Q110308119,St. James Guide to Black Artists,,,,
Q130777,Q126953276,Искусство стран и народов мира,,,,
Q130777,Q20078554,Большая советская энциклопедия,,,,
Q130777,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q1323876,Q110308119,St. James Guide to Black Artists,,,,
Q1323876,Q46002746,Dictionary of African Biography,,,,
Q1362480,Q108611244,Литераторы Санкт-Петербурга. ХХ век,,,,
Q1362480,Q124510026,"Русская литература XX века. Прозаики, поэты, драматурги",,,,
Q1362480,Q126953276,Искусство стран и народов мира,,,,
Q1362480,Q17378135,Большая советская энциклопедия,,,,
Q1362480,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q1368018,Q20078554,Большая советская энциклопедия,,,,
Q1488149,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q151573,Q127157391,Искусство стран и народов мира,,,,
Q151573,Q17378135,Большая советская энциклопедия,,,,
Q151803,Q123625363,Հայկական սովետական հանրագիտարան,,,,
Q151803,Q17378135,Большая советская энциклопедия,,,,
Q152233,Q126953276,Искусство стран и народов мира,,,,
Q152233,Q17378135,Большая советская энциклопедия,,,,
Q152233,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q152793,Q104771187,TheaterEncyclopedie,,,,
Q153104,Q17378135,Большая советская энциклопедия,,,,
Q153793,Q127157391,Искусство стран и народов мира,,,,
Q153793,Q17378135,Большая советская энциклопедия,,,,
Q153793,Q20078554,Большая советская энциклопедия,,,,
Q154260,Q10685690,Svenskt konstnärslexikon,,,,
Q154260,Q17378135,Большая советская энциклопедия,,,,
Q154260,Q20078554,Большая советская энциклопедия,,,,
Q154349,Q127157391,Искусство стран и народов мира,,,,
Q154349,Q17378135,Большая советская энциклопедия,,,,
Q15442578,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q154842,Q20078554,Большая советская энциклопедия,,,,
Q15489989,Q110308119,St. James Guide to Black Artists,,,,
Q155158,Q10685690,Svenskt konstnärslexikon,,,,
Q156128,Q127157391,Искусство стран и народов мира,,,,
Q156128,Q17378135,Большая советская энциклопедия,,,,
Q156128,Q4532138,Энциклопедический словарь Гранат,,,,
Q156272,Q127157391,Искусство стран и народов мира,,,,
Q156272,Q17378135,Большая советская энциклопедия,,,,
