ArtistID,MovementID
Q296,Q40415
Q1470,Q38166
Q4724,Q245188
Q4724,Q478774
Q4724,Q994776
Q5577,Q39427
Q5582,Q80113
Q5582,Q166713
Q5588,Q39427
Q5588,Q147516
Q5589,Q40415
Q5589,Q150091
Q5589,Q166593
Q5589,Q166713
Q5589,Q2487023
Q5593,Q39427
Q5593,Q42934
Q5593,Q166713
Q5603,Q134147
Q5912,Q6034
Q5912,Q39427
Q5912,Q203209
Q7531,Q177725
Q7836,Q3505455
Q8867,Q115154832
Q16409,Q6034
Q16409,Q39427
Q16809,Q177725
Q19504,Q80113
Q24218,Q186030
Q24503,Q186030
Q25328,Q1122677
Q26408,Q503708
Q30755,Q38166
Q30755,Q164800
Q33477,Q37068
Q33978,Q150091
Q33978,Q519443
Q33978,Q3484823
Q33981,Q80113
Q34013,Q40415
Q34013,Q166713
Q34013,Q200034
Q34661,Q34636
Q34661,Q164800
Q35548,Q166713
Q37388,Q83368
Q37571,Q177725
Q37571,Q217213
Q37693,Q40415
Q37693,Q164800
Q37693,Q166713
Q37693,Q382056
Q37693,Q847847
Q37693,Q848365
Q37693,Q889525
Q38785,Q150091
Q38785,Q941875
Q39931,Q40415
Q40599,Q40415
Q41148,Q377616
Q41406,Q80113
Q41406,Q164800
Q41508,Q878985
Q41508,Q11784483
Q44007,Q39427
Q44007,Q80113
Q44007,Q124354
Q44007,Q200034
Q44007,Q1164982
Q44032,Q80113
Q44054,Q80113
Q44131,Q643782
Q44252,Q164800
Q44426,Q643782
Q45055,Q208208
Q45205,Q166593
Q46139,Q6034
Q46139,Q39427
Q46373,Q40415
Q46408,Q4745501
Q46706,Q6034
Q46706,Q191760
Q47496,Q203209
Q47496,Q213156
Q47780,Q238255
Q146691,Q34636
Q146691,Q164800
Q147144,Q65052354
Q151097,Q39427
Q151097,Q186030
Q151097,Q848365
Q151097,Q1122677
Q151152,Q42934
Q151573,Q200034
Q151580,Q38166
Q151580,Q466521
Q151679,Q134147
Q151803,Q164800
Q151803,Q166713
Q151803,Q207445
Q151836,Q38166
Q152233,Q191970
Q152233,Q207103
Q152384,Q39427
Q152524,Q2642826
Q152788,Q80113
Q152788,Q156460
Q152793,Q177725
Q152793,Q212611
Q152797,Q131221
Q153048,Q878985
Q153048,Q1122677
Q153048,Q12742313
Q153048,Q105679168
Q153104,Q80113
Q153104,Q160218
Q153739,Q6034
Q153739,Q39427
Q153739,Q207445
Q153793,Q42934
Q153793,Q166593
Q153920,Q164800
Q153920,Q503708
Q153965,Q108908
Q154083,Q34636
Q154083,Q878985
Q154260,Q80113
Q154331,Q1338153
Q154335,Q276308
Q154340,Q38166
Q154340,Q39427
Q154340,Q42934
Q154340,Q80113
Q154349,Q164800
Q154448,Q134147
Q154448,Q182331
Q154538,Q595448
Q154594,Q80113
Q154594,Q55780244
Q154842,Q6034
Q154842,Q39427
Q155057,Q935292
Q155158,Q6034
Q155407,Q589655
Q155407,Q848365
Q156128,Q80113
Q156128,Q164800
Q156214,Q42934
Q156272,Q42934
Q156272,Q166593
Q156386,Q166713
Q156386,Q281108
Q156386,Q848365
Q156426,Q80113
Q156567,Q3381582
Q156622,Q753683
Q156700,Q80113
